y=966, x=475..477
x=509, y=436..456
y=1258, x=481..500
y=1155, x=545..547
y=1554, x=510..519
y=959, x=488..493
y=1181, x=493..496
y=192, x=592..595
x=559, y=819..821
x=574, y=1538..1541
y=19, x=493..507
y=1677, x=580..599
y=1072, x=474..500
x=562, y=978..992
x=614, y=1375..1398
x=595, y=171..192
x=586, y=624..641
x=502, y=1127..1152
x=562, y=16..20
y=955, x=511..514
y=296, x=464..481
x=627, y=63..65
y=1764, x=469..474
x=645, y=1102..1127
x=515, y=1062..1068
y=1378, x=550..572
x=574, y=910..930
x=547, y=610..624
x=554, y=1111..1123
x=536, y=814..817
x=552, y=1858..1861
x=575, y=281..287
x=526, y=793..803
y=1057, x=582..598
x=607, y=351..353
x=586, y=921..925
x=582, y=433..446
x=636, y=1504..1528
x=557, y=1389..1400
x=588, y=1151..1163
x=571, y=1650..1656
x=511, y=1480..1498
y=1653, x=582..630
y=453, x=477..486
y=1190, x=486..511
x=497, y=849..859
y=605, x=503..510
x=590, y=295..307
y=854, x=592..611
x=652, y=81..103
x=578, y=1706..1715
y=1016, x=586..606
x=466, y=1193..1218
x=474, y=655..682
x=616, y=1505..1528
y=1746, x=499..504
x=475, y=909..916
y=1100, x=556..574
y=953, x=597..603
x=491, y=920..922
x=617, y=1618..1628
x=643, y=508..509
x=543, y=256..265
x=577, y=1450..1462
x=576, y=573..596
x=633, y=887..911
x=601, y=899..902
y=1393, x=549..551
x=537, y=327..352
x=617, y=1409..1424
y=745, x=596..599
x=628, y=620..629
x=561, y=890..901
y=833, x=582..601
x=447, y=307..317
x=593, y=524..533
x=592, y=1044..1053
y=1145, x=545..564
x=556, y=1089..1100
y=63, x=580..600
y=1198, x=572..575
y=1318, x=553..574
y=446, x=582..596
x=603, y=128..152
x=600, y=1191..1194
x=468, y=219..228
y=1444, x=624..642
x=522, y=576..584
y=573, x=528..548
y=582, x=596..606
x=575, y=1265..1272
x=572, y=1489..1499
x=483, y=867..869
x=550, y=420..422
x=488, y=932..959
y=1338, x=549..554
x=546, y=180..188
x=531, y=857..859
y=187, x=490..508
y=456, x=466..493
x=637, y=193..210
x=596, y=799..820
y=492, x=608..624
x=634, y=1541..1567
y=40, x=493..509
x=528, y=392..406
x=566, y=467..472
x=509, y=224..252
y=390, x=465..485
y=146, x=511..535
y=523, x=511..517
y=521, x=590..598
x=449, y=1329..1338
y=1642, x=505..510
x=453, y=304..314
y=1536, x=497..524
y=586, x=449..454
x=504, y=1746..1756
x=580, y=1664..1677
y=1439, x=525..543
y=804, x=453..477
x=610, y=919..936
y=1053, x=590..592
y=1694, x=544..547
y=682, x=474..487
x=537, y=729..741
y=1144, x=617..638
y=817, x=531..536
x=617, y=1096..1098
y=1736, x=559..597
x=536, y=873..884
y=1798, x=615..617
x=604, y=6..12
x=532, y=1152..1163
y=1875, x=571..641
x=498, y=914..926
x=493, y=933..959
x=462, y=1090..1114
x=453, y=477..487
y=1536, x=528..545
x=467, y=1366..1376
y=1272, x=575..577
y=1672, x=590..592
y=1316, x=606..610
x=592, y=1514..1525
x=649, y=1757..1765
x=482, y=1851..1859
x=474, y=26..48
x=569, y=482..483
x=594, y=1284..1297
y=324, x=569..571
x=451, y=936..963
y=756, x=571..588
x=611, y=839..854
x=581, y=397..419
x=496, y=305..315
x=641, y=1717..1731
x=518, y=1420..1422
x=459, y=770..772
x=499, y=1405..1413
y=1199, x=594..613
x=642, y=401..418
y=20, x=562..584
y=36, x=628..637
x=535, y=1079..1080
x=590, y=872..881
x=465, y=1791..1793
x=479, y=1604..1613
x=547, y=1683..1694
x=480, y=913..926
y=325, x=621..647
y=317, x=447..464
x=470, y=417..425
x=554, y=1153..1163
x=545, y=479..502
x=567, y=1068..1079
y=62, x=498..524
x=533, y=937..949
x=529, y=1482..1497
y=940, x=470..482
y=549, x=505..521
x=543, y=1423..1439
x=527, y=1078..1080
x=586, y=241..244
y=103, x=638..652
x=487, y=716..719
x=566, y=953..965
x=613, y=1109..1120
x=490, y=240..252
y=1843, x=514..524
x=596, y=432..446
x=618, y=836..854
y=789, x=478..485
x=592, y=354..372
y=474, x=485..489
x=592, y=1312..1323
y=1822, x=481..485
x=627, y=1678..1679
y=1042, x=504..513
y=752, x=625..649
x=473, y=476..487
x=559, y=576..580
x=636, y=1101..1127
x=625, y=538..563
x=569, y=35..42
y=451, x=477..486
y=688, x=565..590
x=571, y=290..295
y=690, x=536..538
x=611, y=350..353
y=1520, x=579..585
x=496, y=363..372
x=638, y=517..530
y=1307, x=453..469
x=497, y=695..698
y=509, x=643..648
x=487, y=486..497
x=469, y=694..698
y=348, x=550..553
x=469, y=1294..1307
x=562, y=1150..1163
x=560, y=1032..1041
x=595, y=1024..1032
y=268, x=629..632
y=1507, x=448..460
y=1522, x=579..585
y=916, x=475..477
x=472, y=1873..1893
y=1338, x=449..468
x=598, y=509..521
x=582, y=1046..1057
x=501, y=28..35
y=1262, x=581..606
x=636, y=158..169
y=445, x=630..650
x=580, y=318..333
y=369, x=484..487
x=596, y=571..582
x=475, y=1406..1413
y=526, x=489..505
x=484, y=1472..1484
y=1120, x=559..564
y=1898, x=533..546
x=567, y=1268..1277
y=1163, x=532..554
